id,symbol,chain
0x23878914EFE38d27C4D67Ab83ed1b93A74D4086a,USDT,ethereum
0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,USDS,ethereum
0x98C23E9d8f34FEFb1B7BD6a91B7FF122F4e16F5c,USDC,ethereum
0x500331c9fF24D9d11aee6B07734Aa72343EA74a5,DAI,ethereum
0xc3d688B66703497DAA19211EEdff47f25384cdc3,USDC,ethereum
0x1B19C19393e2d034D8Ff31ff34c81252FcBbee92,USDC,ethereum
0x32a6268f9Ba3642Dda7892aDd74f1D34469A4259,USDS,ethereum
0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,USDC,ethereum
0x7BfA7C4f149E7415b73bdeDfe609237e29CBF34A,USDC,base
0xd63070114470f685b75B74D60EEc7c1113d33a3D,USDC,ethereum
0x444868B6e8079ac2c55eea115250f92C2b2c4D14,USDC,arbitrum
0xD628b5aBD6829896134FfdAeeA8393dc531A1Efd,USDe,berachain
0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,EURS,polygon
0xfD06859A671C21497a2EB8C5E3fEA48De924D6c8,USDT,polygon
0xaeB318360f27748Acb200CE616E389A6C9409a07,USDT,polygon
0xd4e245848d6E1220DBE62e155d89fa327E43CB06,FRAX,ethereum
0x995E394b8B2437aC8Ce61Ee0bC610D617962B214,USDT,optimism
0xb1E80387EbE53Ff75a89736097D34dC8D9E9045B,USDC,worldchain
0x2c776041CCFe903071AF44aa147368a9c8EEA518,USDS,base
0x9Fb7b4477576Fe5B32be4C1843aFB1e55F251B33,USDC,ethereum
0x4e65fE4DbA92790696d040ac24Aa414708F5c0AB,USDC,base
0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,FRAX,arbitrum
0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,DAI,arbitrum
0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,DAI,polygon
0xB7890CEE6CF4792cdCC13489D36D9d42726ab863,USDC,base
0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,USDC,base
0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,USDC,base
0xAb254591B63138247eCcDF82170Eb64890d36b1B,AUSD,ethereum
0x7c280DBDEf569e96c7919251bD2B0edF0734C5A8,USDT,ethereum
0x356B8d89c1e1239Cbbb9dE4815c39A1474d5BA7D,USDT,ethereum
0xb125E6687d4313864e53df431d5425969c15Eb2F,USDC,base
0x0A1a3b5f2041F33522C4efc754a7D096f880eE16,USDC,base
0x556d518FDFDCC4027A3A1388699c5E11AC201D8b,USDS,base
0xC41f2Ba7102e9F9F2d603eb951F955aE205ed272,USD1,bsc
0xfD5840Cd36d94D7229439859C0112a4185BC0255,USDT,bsc