date,community_growth,core_contributors,ecosystem_development,investors,unlocked_supply,premine_unlocks
2023-12-01,90637522.77,0,5327245.053,0,95964767.82,95964767.82
2024-01-01,91484517.3,0,12404870.62,0,103889387.9,7924620.106
2024-02-01,92276867.03,0,19025875.19,0,111302742.2,7413354.293
2024-03-01,93123861.57,0,26103500.76,0,119227362.3,7924620.106
2024-04-01,93943533.7,0,32952815.83,0,126896349.5,7668987.2
2024-05-01,94790528.23,0,40030441.4,0,134820969.6,7924620.106
2024-06-01,95610200.36,0,46879756.47,0,142489956.8,7668987.2
2024-07-01,96457194.9,0,53957382.04,0,150414576.9,7924620.106
2024-08-01,97304189.44,0,61035007.61,0,158339197,7924620.106
2024-09-01,98123861.57,0,67884322.68,0,166008184.2,7668987.2
2024-10-01,98970856.1,0,74961948.25,0,173932804.4,7924620.106
2024-11-01,99790528.23,0,81811263.32,0,181601791.6,7668987.2
2024-12-01,100000000,86819844.86,88888888.89,57458031.17,333166764.9,151564973.4
2025-01-01,100000000,93765432.41,95966514.46,62054673.67,351786620.5,18619855.61
2025-02-01,100000000,100038866.3,102359208.5,66206479.79,368604554.6,16817934.1
2025-03-01,100000000,106984453.9,109436834.1,70803122.28,387224410.2,18619855.61
2025-04-01,100000000,113705990.2,116286149.2,75251485.99,405243625.4,18019215.11
2025-05-01,100000000,120651577.8,123363774.7,79848128.48,423863481,18619855.61
2025-06-01,100000000,127373114.1,130213089.8,84296492.19,441882696.1,18019215.11
2025-07-01,100000000,134318701.6,137290715.4,88893134.68,460502551.7,18619855.61
2025-08-01,100000000,141264289.2,144368340.9,93489777.17,479122407.3,18619855.61
2025-09-01,100000000,147985825.5,151217656,97938140.88,497141622.4,18019215.11
2025-10-01,100000000,154931413.1,158295281.6,102534783.4,515761478,18619855.61
2025-11-01,100000000,161652949.4,165144596.7,106983147.1,533780693.1,18019215.11
2025-12-01,100000000,168598537,172222222.2,111579789.6,552400548.8,18619855.61
2026-01-01,100000000,175544124.5,179299847.8,116176432.1,571020404.4,18619855.61
2026-02-01,100000000,181817558.4,185692541.9,120328238.2,587838338.5,16817934.1
2026-03-01,100000000,188763146,192770167.4,124924880.7,606458194.1,18619855.61
2026-04-01,100000000,195484682.3,199619482.5,129373244.4,624477409.2,18019215.11
2026-05-01,100000000,202430269.9,206697108.1,133969886.9,643097264.8,18619855.61
2026-06-01,100000000,209151806.2,213546423.1,138418250.6,661116479.9,18019215.11
2026-07-01,100000000,216097393.7,220624048.7,143014893.1,679736335.5,18619855.61
2026-08-01,100000000,223042981.3,227701674.3,147611535.6,698356191.1,18619855.61
2026-09-01,100000000,229764517.6,234550989.3,152059899.3,716375406.3,18019215.11
2026-10-01,100000000,236710105.2,241628614.9,156656541.8,734995261.9,18619855.61
2026-11-01,100000000,243431641.5,248477930,161104905.5,753014477,18019215.11
2026-12-01,100000000,245000000,250000000,162142857,757142857,4128380.025
2027-01-01,100000000,245000000,250000000,162142857,757142857,0
2027-02-01,100000000,245000000,250000000,162142857,757142857,0
2027-03-01,100000000,245000000,250000000,162142857,757142857,0