date,community_supply,insiders_supply,gross_emissions_native,premine_unlocks_native,burns_native,net_supply_change_native,circulating_supply_native
2/20/2024,"726,000,000",0,0,"726,000,000",0,"726,000,000","726,000,000"
4/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
5/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
6/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
7/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
8/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
9/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
10/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
11/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
12/15/2024,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
1/15/2025,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
2/15/2025,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
3/15/2025,0,"64,000,000",0,"64,000,000",0,"64,000,000","64,000,000"
4/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
5/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
6/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
7/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
8/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
9/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
10/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
11/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
12/15/2025,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
1/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
2/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
3/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
4/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
5/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
6/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
7/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
8/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
9/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
10/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
11/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
12/15/2026,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
1/15/2027,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
2/15/2027,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"
3/15/2027,0,"127,000,000",0,"127,000,000",0,"127,000,000","127,000,000"